ident,actual_ident,scheduled_departuretm,scheduled_arrivaltm,origin,destination,aircrafttype,meal_service,seats_cabin_first,seats_cabin_business,seats_cabin_coach
ALK2854,ACA854,2020-05-03T00:05:00.000+0000,2020-05-03T09:25:00.000+0000,CYVR,EGLL,B788,Business: No meal / Economy: No meal,0,20,235
UAL2787,,2020-05-03T00:35:00.000+0000,2020-05-03T08:35:00.000+0000,KORD,EGLL,B789,,0,0,0
EIN8814,BAW114,2020-05-03T00:15:00.000+0000,2020-05-03T07:20:00.000+0000,KJFK,EGLL,,First: No meal / Business: No meal / Economy: No meal,12,48,159
BAW114,,2020-05-03T00:15:00.000+0000,2020-05-03T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
AAL6135,BAW114,2020-05-03T00:15:00.000+0000,2020-05-03T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
FIN5514,BAW114,2020-05-03T00:15:00.000+0000,2020-05-03T07:20:00.000+0000,KJFK,EGLL,,First: Meal / Business: Meal / Economy: Meal,12,48,159
UAL8384,ACA848,2020-05-03T00:35:00.000+0000,2020-05-03T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
EMT1141,ACA848,2020-05-03T00:35:00.000+0000,2020-05-03T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
SIA1015,ACA848,2020-05-03T00:35:00.000+0000,2020-05-03T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,360
ALK2848,ACA848,2020-05-03T00:35:00.000+0000,2020-05-03T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,360
ETH1141,ACA848,2020-05-03T00:35:00.000+0000,2020-05-03T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
ACA848,,2020-05-03T00:35:00.000+0000,2020-05-03T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
AUA8290,ACA848,2020-05-03T00:35:00.000+0000,2020-05-03T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,360
MSR9617,ACA848,2020-05-03T00:35:00.000+0000,2020-05-03T07:35:00.000+0000,CYYZ,EGLL,B77W,Business: No meal / Economy: No meal,0,40,360
DLH6583,ACA848,2020-05-03T00:35:00.000+0000,2020-05-03T07:35:00.000+0000,CYYZ,EGLL,B77W,"Business: Breakfast, Meal / Economy: Breakfast, Meal",0,40,360
DAL4405,VIR24,2020-05-03T04:20:00.000+0000,2020-05-03T14:35:00.000+0000,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
AFR9654,VIR24,2020-05-03T04:20:00.000+0000,2020-05-03T14:35:00.000+0000,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
KLM4811,VIR24,2020-05-03T04:20:00.000+0000,2020-05-03T14:35:00.000+0000,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
AMX7661,VIR24,2020-05-03T04:20:00.000+0000,2020-05-03T14:35:00.000+0000,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
VOZ5354,VIR24,2020-05-03T04:20:00.000+0000,2020-05-03T14:35:00.000+0000,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
VIR24,,2020-05-03T04:20:00.000+0000,2020-05-03T14:35:00.000+0000,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
SIA2524,VIR24,2020-05-03T04:20:00.000+0000,2020-05-03T14:35:00.000+0000,KLAX,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
IBE7352,BAW114,2020-05-03T01:30:00.000+0000,2020-05-03T08:35:00.000+0000,KJFK,EGLL,,,0,0,0
AFR6759,VIR10,2020-05-03T02:00:00.000+0000,2020-05-03T09:10:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
SIA2510,VIR10,2020-05-03T02:00:00.000+0000,2020-05-03T09:10:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
KLM4828,VIR10,2020-05-03T02:00:00.000+0000,2020-05-03T09:10:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
VIR10,,2020-05-03T02:00:00.000+0000,2020-05-03T09:10:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
DAL4377,VIR10,2020-05-03T02:00:00.000+0000,2020-05-03T09:10:00.000+0000,KJFK,EGLL,A35K,Business: Dinner / Economy: Dinner,0,44,291
SIA1190,AVA120,2020-05-03T04:00:00.000+0000,2020-05-03T14:35:00.000+0000,SKBO,EGLL,B788,Business: No meal / Economy: No meal,0,28,222
ANA7840,AVA120,2020-05-03T04:00:00.000+0000,2020-05-03T14:35:00.000+0000,SKBO,EGLL,B788,"Business: Breakfast, Dinner / Economy: Breakfast, Dinner",0,28,222
